rated,turns,victory_status,Time,Increment,white_rating,black_rating,opening_name,opening_ply,winner
1,27,1,10,0,1473,1311,108,4,0
0,67,1,10,0,2068,1906,108,4,0
1,70,1,10,5,1156,1440,108,4,1
1,71,0,10,5,1506,1422,108,4,0
1,78,0,8,0,1500,1496,108,4,1
0,34,0,20,20,999,1810,107,2,1
0,46,0,20,30,1033,1263,107,2,1
0,22,1,15,0,1500,1500,107,2,1
1,44,0,10,0,1647,1608,107,2,1
1,13,1,10,0,1550,1194,107,2,0
1,57,1,10,0,884,1415,107,2,0
1,31,0,10,0,2169,1736,107,2,0
0,75,3,10,0,1559,1500,107,2,0
0,40,0,10,2,2060,1546,107,2,1
1,119,0,5,10,1480,1584,107,2,0
1,53,1,5,15,1389,1525,107,2,0
1,50,1,30,0,1505,1914,106,1,1
1,54,1,30,0,1474,1460,106,1,0
1,86,1,30,1,1319,1363,106,1,1
1,104,0,25,25,1982,2131,106,1,1
0,25,0,20,0,1527,1309,106,1,0
1,71,0,20,15,1072,1111,106,1,0
0,54,1,20,30,2449,1899,106,1,1
1,71,1,15,0,1603,1559,106,1,0
1,47,1,15,0,2258,2123,106,1,0
1,68,0,15,5,1526,1542,106,1,1
0,34,0,15,10,828,1192,106,1,1
1,157,0,15,15,1262,1374,106,1,0
1,47,0,13,12,1379,1418,106,1,0
1,69,1,12,0,2315,2128,106,1,0
1,42,1,10,0,1290,1436,106,1,1
1,42,0,10,0,1303,1876,106,1,1
1,34,0,10,0,1313,1401,106,1,1
0,58,0,10,0,1209,1480,106,1,1
1,90,1,10,0,1491,1541,106,1,1
1,92,3,10,0,1442,1609,106,1,1
1,16,1,10,0,1453,1558,106,1,1
1,66,0,10,0,1183,1554,106,1,1
1,26,1,10,0,1036,1179,106,1,1
0,14,0,10,0,1424,1662,106,1,1
1,72,1,10,0,1546,1560,106,1,1
1,94,1,10,0,1788,1811,106,1,1
1,61,1,10,0,1433,1421,106,1,0
1,79,1,10,0,1452,1378,106,1,0
1,61,3,10,0,1412,1477,106,1,0
1,47,1,10,0,1383,1323,106,1,0
1,65,1,10,0,2204,1740,106,1,0
1,131,0,10,0,2273,2138,106,1,0
0,87,3,10,0,1429,1801,106,1,0
1,25,1,10,0,1070,1265,106,1,0
1,55,1,10,0,1696,1548,106,1,0
1,149,0,10,0,1644,1621,106,1,0
1,2,1,10,0,1604,1765,106,1,0
1,45,1,10,0,1483,1145,106,1,0
0,20,1,10,5,1450,1626,106,1,1
1,46,1,10,5,1497,1364,106,1,0
0,52,1,10,9,1403,1658,106,1,1
1,60,3,8,0,1307,1218,106,1,1
1,16,0,8,0,1887,1777,106,1,1
1,41,1,8,0,1882,1806,106,1,0
1,57,3,8,0,1295,1304,106,1,0
1,63,0,8,5,2267,2022,106,1,0
1,68,1,7,7,1458,1509,106,1,0
1,35,1,5,5,2210,2131,106,1,0
1,77,1,5,8,2309,2091,106,1,0
1,93,1,5,10,1099,1132,106,1,0
1,17,0,20,0,1233,1257,105,2,0
1,9,0,20,20,1500,848,105,2,0
1,81,1,19,0,1381,1181,105,2,0
1,13,0,15,20,1160,1323,105,2,0
1,110,0,12,12,1590,1471,105,2,1
1,50,1,10,0,2043,1814,105,2,1
1,83,1,10,0,2222,1842,105,2,0
1,69,0,10,0,1409,1228,105,2,0
1,56,0,9,0,1187,1265,105,2,1
1,15,3,9,0,1585,1441,105,2,0
1,3,3,8,10,1842,1500,105,2,0
1,40,1,7,7,1411,1446,105,2,1
1,43,0,5,5,1930,1500,105,2,0
1,3,1,5,8,1252,1168,105,2,0
0,5,1,5,15,1090,837,105,2,0
1,50,0,20,0,1674,1655,104,4,1
1,23,0,12,10,2123,1108,104,4,0
1,54,0,10,0,1595,1563,104,4,1
0,36,1,8,0,1500,1774,104,4,1
0,41,0,5,5,1591,1143,104,7,0
1,14,1,5,8,1646,1381,104,4,0
1,36,1,15,15,1461,1402,103,8,1
1,48,1,15,15,1935,2094,103,8,1
1,75,3,10,0,1500,1393,103,8,0
1,52,1,10,0,1546,1579,103,8,0
1,87,0,5,8,1605,1296,103,8,0
1,50,1,20,0,1841,2264,102,1,1
1,6,0,15,20,1418,1588,102,1,1
1,14,1,10,0,1228,1812,102,1,1
1,127,1,10,0,1552,1583,102,1,0
1,19,0,10,0,1549,1541,102,1,0
1,43,1,10,0,2255,2272,102,1,0
1,2,1,10,0,1227,1179,102,1,0
0,34,0,10,15,1407,1500,102,1,1
0,32,0,5,8,1500,1496,102,1,1
0,63,1,45,45,2131,1431,101,4,0
0,63,1,45,45,2131,1431,101,4,0
0,28,0,15,15,1539,1844,101,5,1
1,56,0,10,0,1145,1669,101,5,1
0,54,0,10,0,1102,1353,101,5,1
1,56,0,10,0,1409,1268,101,5,1
1,104,0,10,0,1389,1405,101,5,1
1,43,1,10,0,1476,1506,101,5,0
1,69,0,10,0,1461,1338,101,5,0
1,65,1,10,0,1435,1486,101,5,0
1,129,3,10,0,1399,1319,101,5,0
1,57,1,10,0,1096,1478,101,5,0
1,21,1,5,5,1463,1476,101,5,0
1,15,1,5,10,1500,1516,101,5,0
1,6,1,10,0,1254,1353,100,5,1
0,6,1,0,180,1158,1324,100,5,1
0,6,1,0,180,1158,1324,100,5,1
0,1,3,20,10,2438,1666,99,1,0
0,1,3,20,10,2438,1885,99,1,0
1,39,0,15,2,1226,1112,99,1,0
1,17,1,15,5,1465,1189,99,1,0
0,1,3,15,30,2403,1746,99,1,0
0,1,3,15,30,2403,1746,99,1,0
1,1,1,10,0,1670,1175,99,1,0
1,1,1,10,0,1778,1349,99,1,0
1,1,1,10,0,1484,2113,99,1,0
1,3,1,10,0,1236,1150,99,1,0
1,1,1,10,0,1431,1367,99,1,0
1,40,1,10,5,1387,1547,99,1,1
0,1,3,10,60,2032,1223,99,1,0
0,1,3,5,5,1500,2723,99,1,0
0,1,3,5,15,2404,1616,99,1,0
0,1,3,5,15,2100,1404,99,1,0
1,2,1,5,17,1730,1327,99,1,0
1,59,0,0,15,1227,1206,99,1,0
1,52,0,15,5,1577,1763,98,6,1
1,87,3,10,0,1728,1576,98,6,0
1,30,1,9,1,1432,1397,98,6,1
1,50,3,7,2,1516,1586,98,7,1
0,65,0,30,0,1738,1364,97,3,0
1,31,0,30,0,1773,1670,97,3,0
1,3,1,25,3,1560,1160,97,3,0
0,24,1,20,15,2156,1220,97,3,0
1,90,0,15,15,967,999,97,3,1
1,39,0,12,12,1486,1092,97,3,0
1,42,0,10,0,1278,1357,97,3,1
1,82,1,10,0,1461,1253,97,3,1
1,31,0,10,0,1682,1670,97,3,0
1,41,1,10,0,1799,1711,97,3,0
1,141,0,10,0,1630,1537,97,3,0
1,73,0,10,0,1610,1611,97,3,0
1,205,3,10,0,1617,1704,97,3,0
1,66,0,10,10,1364,1632,97,3,1
1,92,1,180,180,1337,1623,96,3,1
0,34,0,30,0,1264,1065,96,3,1
1,26,1,25,0,1584,1371,96,3,1
1,48,1,20,0,1405,1365,96,3,1
1,42,3,20,0,1500,1769,96,3,1
1,145,0,20,0,1599,1744,96,3,0
1,63,1,20,0,1478,1453,96,3,0
1,24,0,15,0,1244,1394,96,3,1
1,49,0,15,0,1426,1500,96,3,0
0,16,1,15,15,972,1301,96,3,1
1,31,1,15,15,1605,1576,96,3,0
1,36,1,13,14,871,1006,96,3,1
1,56,0,10,0,1392,1501,96,5,1
1,30,0,10,0,1147,1087,96,3,1
1,116,3,10,0,1624,1741,96,3,1
1,92,3,10,0,1506,1558,96,3,1
0,58,0,10,0,1133,1500,96,3,1
1,39,0,10,0,1306,1307,96,3,0
0,47,1,10,0,1500,1500,96,3,0
1,27,1,10,3,1055,965,96,3,0
1,43,0,10,5,1395,1500,96,3,0
1,119,1,5,8,1651,1385,96,3,0
0,12,3,30,45,1423,1799,95,1,1
1,20,1,20,0,1625,1378,95,1,0
1,20,1,20,0,1625,1378,95,1,0
1,28,0,20,2,1500,1725,95,1,1
0,66,0,15,0,1392,1260,95,1,1
1,35,0,15,0,1641,1490,95,1,0
1,63,0,15,0,1636,1260,95,1,0
1,36,1,15,0,1507,1396,95,1,0
1,35,0,15,0,1641,1490,95,1,0
1,63,0,15,0,1636,1260,95,1,0
0,52,0,15,5,1500,1739,95,1,1
1,61,1,15,15,2246,2204,95,1,0
0,5,3,11,7,1706,1402,95,1,0
1,36,1,10,0,1669,1538,95,1,0
1,47,1,10,0,1477,1392,95,1,0
1,37,1,10,0,1795,1709,95,1,0
1,19,1,10,0,1526,1473,95,1,0
1,51,0,10,2,2250,2119,95,1,0
0,46,1,10,14,1554,1646,95,1,1
0,68,0,7,5,1287,2126,95,1,1
1,17,1,7,5,1379,1206,95,1,0
1,70,0,5,5,1696,1563,95,1,1
1,70,0,5,5,1696,1563,95,1,1
1,45,0,5,5,1659,1752,95,1,0
1,2,1,5,8,1376,838,95,1,0
0,6,1,180,0,1161,1472,94,3,0
0,79,1,60,0,1831,1764,94,6,0
1,89,1,25,10,1859,1734,94,4,0
1,89,1,25,10,1859,1734,94,4,0
1,52,3,20,3,1631,1593,94,3,1
1,62,0,15,0,1581,1535,94,3,1
1,78,1,15,0,1477,1297,94,3,1
1,69,1,15,0,1783,1858,94,3,1
1,63,1,15,0,1661,1680,94,4,0
1,35,0,15,0,1449,1462,94,4,0
1,75,0,15,10,1537,1330,94,4,0
1,21,1,15,15,1417,1326,94,4,0
0,55,0,12,4,1833,1500,94,4,0
1,110,1,12,12,1650,1414,94,3,1
1,50,1,11,8,1522,1289,94,6,1
1,20,1,10,0,1205,1257,94,3,1
1,41,1,10,0,2042,1982,94,4,0
1,55,1,10,0,1528,1708,94,4,0
1,123,1,10,0,1694,1545,94,3,0
1,73,0,10,0,1599,1274,94,3,0
1,43,1,10,0,1559,1525,94,3,0
0,141,0,10,0,1767,1831,94,4,0
1,80,3,10,3,1550,1755,94,3,1
0,53,0,10,3,1500,1165,94,6,0
1,69,0,10,4,1621,1198,94,3,0
0,58,0,10,5,1176,1653,94,3,1
1,125,1,10,8,1545,1497,94,3,0
1,94,0,10,10,1547,1832,94,4,1
1,71,1,8,2,2026,2224,94,3,0
1,22,1,7,2,1514,1576,94,4,1
1,41,1,5,5,2191,2077,94,7,0
1,68,1,5,8,1973,1856,94,3,1
1,95,1,5,9,1562,1715,94,6,1
1,69,0,3,12,1733,1199,94,3,0
1,69,0,3,12,1733,1199,94,3,0
1,66,1,60,1,1679,1816,93,10,1
0,89,0,35,3,1947,1701,93,8,0
0,68,1,25,3,1881,1731,93,10,1
1,24,3,15,0,2101,2048,93,10,1
1,36,0,15,0,1644,1264,93,6,1
1,48,1,15,0,2136,2353,93,18,1
1,140,1,15,0,1697,1794,93,16,1
1,55,1,15,0,1877,1781,93,10,0
1,46,1,15,5,2101,1741,93,9,0
1,32,1,15,10,1689,1593,93,10,0
1,79,1,15,10,1721,1573,93,9,0
1,79,1,15,10,1721,1573,93,9,0
1,67,1,15,15,1162,1273,93,6,0
1,48,1,10,0,1316,1442,93,10,1
1,82,1,10,0,1445,1627,93,6,1
1,35,1,10,0,1584,1737,93,10,1
1,120,1,10,0,1868,2079,93,16,1
1,39,1,10,0,1791,1876,93,10,1
1,52,1,10,0,1250,1244,93,6,0
0,109,1,10,0,1500,1372,93,10,0
1,20,1,10,0,1575,1561,93,10,0
1,39,1,10,3,1674,1557,93,6,1
1,85,1,10,5,1549,1551,93,6,0
0,44,1,10,60,2586,1618,93,17,0
1,40,1,7,7,2291,2290,93,9,1
0,69,0,5,5,1596,1525,93,8,0
0,38,1,180,45,1500,1133,92,2,0
1,37,1,45,1,1597,1500,92,2,1
1,19,3,25,0,1300,1108,92,2,0
0,70,3,20,0,1907,1264,92,2,1
0,30,1,15,0,1359,1359,92,2,1
0,55,1,15,0,1237,1335,92,2,0
1,35,1,15,0,1358,1367,92,2,0
0,65,0,15,0,1665,927,92,2,0
1,15,0,15,0,1560,1349,92,2,0
1,62,0,15,15,1081,1290,92,2,1
0,62,1,15,15,1718,1519,92,2,1
1,63,0,15,15,1415,1484,92,2,0
1,45,0,14,20,1338,1314,92,2,0
1,34,0,12,0,1385,1246,92,2,1
1,53,0,12,0,1433,1272,92,2,0
1,63,0,12,0,1619,1191,92,2,0
1,90,1,10,0,1734,1402,92,6,1
1,112,0,10,0,1118,1002,92,2,1
1,59,1,10,0,1236,1137,92,2,1
1,43,1,10,0,1597,1583,92,2,1
1,64,0,10,0,1383,1226,92,2,1
1,39,1,10,0,1242,1313,92,2,1
1,54,1,10,0,1606,1535,92,2,1
1,47,0,10,0,1245,1284,92,6,0
1,46,1,10,0,1562,1149,92,2,0
1,61,0,10,0,2178,1414,92,2,0
1,42,1,10,5,1913,1275,92,2,1
0,78,0,10,10,1281,1380,92,2,1
1,104,3,8,0,1917,1822,92,2,1
1,39,0,8,8,1502,1321,92,2,0
1,59,0,7,2,1137,1324,92,2,0
0,46,0,6,8,1346,1354,92,2,1
1,119,0,5,5,1985,2091,92,6,0
0,31,0,5,5,1814,1500,92,2,0
1,2,1,5,8,890,1357,92,2,1
0,77,1,5,10,1430,1241,92,2,0
1,27,1,2,10,1839,1229,92,6,0
0,86,1,150,3,1367,1208,91,1,1
1,96,1,40,0,1339,1481,91,1,1
0,28,0,30,0,1500,1700,91,1,1
1,39,1,30,0,1435,1653,91,1,1
0,52,1,30,0,1500,1302,91,1,1
1,44,0,30,8,1500,1662,91,1,1
1,51,0,30,16,1523,1009,91,1,0
0,32,0,30,30,1500,2210,91,1,1
0,41,1,15,0,1500,1631,91,5,0
1,14,1,14,0,1171,1554,91,1,1
1,48,0,12,0,1016,1429,91,1,1
0,40,0,10,0,1500,1521,91,1,1
1,12,1,10,0,1807,1274,91,3,1
1,132,3,10,0,2066,2180,91,5,1
1,70,3,10,0,1531,1473,91,1,1
1,98,0,10,0,1743,2088,91,3,1
1,76,0,10,0,1643,1927,91,1,1
1,76,0,10,0,1643,1927,91,1,1
0,10,1,10,0,1675,1500,91,1,1
1,52,1,10,0,1964,2331,91,5,1
0,124,0,10,0,1156,1812,91,1,1
0,72,1,10,0,1500,1812,91,1,1
0,11,1,10,0,1223,1313,91,1,0
1,57,0,10,0,1282,1161,91,1,0
1,51,0,10,0,1471,1397,91,5,0
1,55,0,10,0,1830,1369,91,1,0
1,65,0,10,0,1075,1116,91,1,0
1,77,0,10,0,1919,1983,91,5,0
1,3,1,10,3,1630,1556,91,1,1
1,6,0,10,8,1139,1283,91,1,1
1,76,0,8,8,1500,1250,91,1,1
1,59,3,7,2,1486,1516,91,5,0
0,48,1,5,5,1500,1600,91,1,1
0,34,0,5,8,1500,1372,91,1,1
1,55,0,3,20,1179,1371,91,1,0
0,28,1,25,17,1669,1149,90,5,0
0,8,1,20,20,1518,1368,90,5,0
1,106,1,15,5,2196,2314,90,9,1
0,8,1,10,0,1501,1609,90,5,1
1,70,1,10,0,2100,1827,90,9,1
1,90,1,10,0,1334,1798,90,5,1
1,82,3,10,0,1558,1360,90,5,1
1,63,1,10,0,1721,1857,90,5,0
1,59,0,10,0,1354,1347,90,5,0
1,30,1,10,3,1594,1395,90,5,0
1,74,1,8,0,2352,2366,90,7,0
1,74,1,8,0,2352,2366,90,7,0
1,30,0,8,1,1069,1182,90,5,1
1,76,1,60,13,1310,1189,89,3,0
1,21,0,30,5,2022,1162,89,3,0
1,100,1,25,0,1420,1620,89,3,1
0,75,0,20,0,1327,1500,89,3,0
0,21,3,20,5,1981,1109,89,3,0
1,16,3,15,0,1622,1765,89,3,1
1,71,0,15,0,1494,1348,89,3,0
0,99,1,15,0,1600,1603,89,3,0
1,50,0,15,2,1517,1535,89,3,1
1,20,1,15,15,1559,1500,89,3,0
1,98,0,12,0,1305,1402,89,3,1
1,99,1,11,10,1462,1605,89,5,0
1,62,1,10,0,1140,1349,89,3,1
1,70,0,10,0,1028,1284,89,3,1
1,101,1,10,0,1336,1355,89,3,1
0,44,1,10,0,1414,1787,89,5,1
1,82,0,10,0,1408,1584,89,3,1
1,80,0,10,0,1350,1566,89,3,1
1,86,3,10,0,1576,1638,89,3,1
1,50,1,10,0,1691,1499,89,3,1
1,46,1,10,0,1826,1860,89,3,1
1,68,1,10,0,1531,1807,89,6,1
1,156,0,10,0,1847,1793,89,5,1
1,60,1,10,0,1439,1578,89,6,1
1,57,0,10,0,1277,1122,89,3,0
1,31,1,10,0,1671,1671,89,3,0
1,5,1,10,0,1821,1641,89,3,0
1,39,1,10,0,1774,1313,89,3,0
0,39,1,10,0,2206,1640,89,3,0
1,49,1,10,0,1764,1622,89,4,0
1,99,1,10,0,1647,1664,89,6,0
1,51,0,10,0,1962,1368,89,3,0
1,45,0,10,0,1873,1667,89,3,0
1,35,1,10,0,1932,1482,89,3,0
1,63,0,10,0,1890,1483,89,3,0
1,71,0,10,0,1715,1569,89,6,0
1,84,1,10,5,1527,1554,89,3,1
1,68,1,10,5,1568,1614,89,3,1
0,31,1,10,5,1522,1542,89,5,0
1,34,0,8,0,1351,1366,89,3,1
1,16,1,6,4,2108,2270,89,6,1
1,81,1,5,5,1141,1369,89,3,1
1,81,1,5,5,1141,1369,89,3,1
1,78,1,5,8,1731,1572,89,3,1
0,53,0,5,8,1651,1364,89,3,0
1,53,1,5,8,1839,1805,89,5,0
1,92,1,5,10,1496,1229,89,3,1
1,3,1,5,10,1359,1401,89,3,0
1,79,1,4,8,1681,1150,89,3,0
1,68,0,3,10,1679,1622,89,3,1
0,109,1,15,15,1500,1802,88,13,0
1,57,1,10,0,2227,2107,88,13,0
1,87,3,10,0,1961,1805,88,12,0
1,87,3,10,0,1961,1805,88,12,0
1,59,1,10,0,1975,2034,88,14,0
1,30,1,10,10,1869,1811,88,11,1
0,98,1,10,30,2055,2441,88,6,0
1,204,3,7,2,1818,1896,88,6,1
0,9,1,40,10,1400,1381,87,3,0
0,9,1,40,10,1400,1381,87,3,0
0,30,1,20,0,1400,1387,87,3,1
0,66,1,20,0,1400,1349,87,3,1
0,30,1,20,0,1400,1387,87,3,1
0,66,1,20,0,1400,1349,87,3,1
0,49,0,20,3,1703,1475,87,3,0
0,44,1,15,10,1400,1619,87,3,1
0,44,1,15,10,1400,1619,87,3,1
1,33,1,15,10,1997,1852,87,3,0
0,113,0,10,0,1400,1475,87,3,0
1,41,0,10,0,1500,1370,87,3,0
1,71,0,10,0,1853,1525,87,3,0
0,113,0,10,0,1400,1475,87,3,0
0,52,1,10,5,1951,2227,87,3,1
0,49,1,10,5,1400,1466,87,3,0
0,49,1,10,5,1400,1466,87,3,0
1,72,3,8,0,1640,1521,87,3,1
1,96,1,7,3,1585,1616,87,3,1
1,58,0,7,7,1453,1796,87,3,1
1,66,3,6,5,1743,2134,87,3,1
0,99,1,5,8,1567,1862,87,3,0
1,124,1,5,9,1648,1552,87,3,1
1,102,1,30,10,1976,2056,86,9,1
0,70,1,30,30,2108,1712,86,7,1
1,78,1,17,13,1560,1475,86,6,1
1,18,1,15,0,1807,1687,86,6,1
1,105,0,15,10,1218,1111,86,6,0
1,61,0,12,8,1309,1253,86,6,0
0,32,1,10,0,1500,1862,86,6,1
1,40,1,10,0,1786,1609,86,6,1
1,162,0,10,0,1006,1228,86,6,1
1,60,1,10,0,1387,1246,86,7,1
1,44,1,10,0,1485,1482,86,7,1
1,102,0,10,0,1242,1413,86,6,1
1,71,1,10,0,1959,1839,86,6,0
1,43,1,10,0,1516,1500,86,7,0
0,35,0,10,0,1500,1500,86,6,0
1,56,0,10,1,1479,1806,86,6,1
1,83,0,10,2,1240,958,86,7,0
1,58,1,9,8,1729,1874,86,6,1
1,50,1,8,0,1355,1418,86,6,1
1,43,1,8,0,1381,1646,86,7,1
1,66,3,8,0,1996,1955,86,7,1
1,115,1,8,0,1888,1700,86,6,0
1,49,1,8,2,1784,2121,86,9,0
1,21,1,8,10,1384,1395,86,7,1
0,43,1,5,8,1904,1500,86,6,0
0,59,1,5,60,1500,1802,86,7,0
1,26,0,30,16,1028,1521,85,1,1
0,22,1,15,0,1384,2621,85,1,1
0,19,1,15,0,2270,2199,85,1,0
0,50,1,15,0,1913,1147,85,1,0
0,27,1,10,0,1862,1387,85,1,1
1,74,3,10,0,1651,2206,85,1,1
1,106,1,10,0,1771,2019,85,1,1
1,18,1,10,0,1679,1695,85,1,1
1,76,1,10,0,1826,2013,85,1,1
1,40,1,10,0,1565,1729,85,1,0
0,4,1,10,10,1775,1514,85,1,0
1,57,1,7,7,1469,1445,85,1,0
1,84,0,7,9,1287,1702,85,1,1
1,94,0,7,9,1285,1371,85,1,1
1,94,1,7,9,1295,1328,85,1,0
